"lon","lat","incl_deg","intensity_uT"
84,-60,-74.39704920172468,56.665493931181516
96,-60,-78.48211425283652,61.006789454465626
108,-60,-82.41392520959025,64.23697678585553
120,-60,-85.88258961024393,66.26839105346868
132,-60,-87.46843179310177,67.07573494103322
144,-60,-85.49200319068945,66.77453518496313
156,-60,-82.68813737739283,65.61552359714443
168,-60,-79.9262548234645,63.91924966132351
180,-60,-77.32373136588976,61.7379777445192
-180,-54,-74.00710078401762,59.918875069830094
-168,-54,-71.6221500571393,57.21944424087954
-156,-54,-69.35370023595033,54.450580797832934
-144,-54,-67.11909036124969,51.69928344512734
-132,-54,-64.72531142055666,48.80800883894647
-120,-54,-61.92666943865541,45.58707773727313
-108,-54,-58.62463285740041,41.996757271918526
-96,-54,-55.10595751646301,38.1574099849325
-84,-54,-52.13782188011461,34.488682558592544
-72,-54,-50.75375029286733,31.39922815638189
-60,-54,-51.441448391023926,29.309936327478894
-48,-54,-53.74427224008108,28.0761066157026
-36,-54,-56.483712868045394,27.246160353179558
-24,-54,-58.487339147611436,26.67443514691998
-12,-54,-59.26061120320665,26.28569090413481
0,-54,-58.94189058678501,26.43177330627618
12,-54,-58.25263687447768,27.63034374322934
24,-54,-58.2453798878342,30.23745229868961
36,-54,-59.62647386078274,34.304380191932864
48,-54,-62.43523235758746,39.4628249618969
60,-54,-66.17424559548334,45.232151456623804
72,-54,-70.32122172586955,50.98692034000848
84,-54,-74.46288015323357,56.42407986907886
96,-54,-78.33490006474723,60.93631647499815
108,-54,-81.52254760386012,64.23664671152575
120,-54,-83.31676451499119,66.13767774227425
132,-54,-83.09456046915369,66.65697663921497
144,-54,-81.36792719031288,65.98739712614828
156,-54,-79.02096917464982,64.5170809407941
168,-54,-76.50409676034066,62.28851041074073
180,-54,-74.00710077694718,59.91887504731164
-180,-48,-70.23474845901899,57.403196053169594
-168,-48,-67.87037991320852,54.653074600397396
-156,-48,-65.59318555611128,51.7606133267849
-144,-48,-63.37308057296016,48.92601628768774
-132,-48,-61.06863024602745,46.01683675821767
-120,-48,-58.40319103918647,42.78086744822601
-108,-48,-55.13798399732586,39.10467510373946
-96,-48,-51.425741756807795,35.12666449972465
-84,-48,-48.18694238841472,31.26346154882722
-72,-48,-46.94021478601144,28.13825780487584
-60,-48,-48.57313452843903,26.26526320899356
-48,-48,-52.39545166131639,25.458582378388584
-36,-48,-56.65718537965088,25.078492688439116
-24,-48,-59.907226927209216,24.71162662663403
-12,-48,-61.475948633602016,24.316951331061855
0,-48,-61.26303422190102,24.284985594509255
12,-48,-59.94329976818729,25.26970206291114
24,-48,-59.00406279273001,27.88996914855608
36,-48,-59.75191700709855,32.26255206804674
48,-48,-62.35485550336628,37.936245961739544
60,-48,-66.10277720736713,44.19802408734887
72,-48,-70.16689595888727,50.24551202083968
84,-48,-73.93503351019878,55.836523620562524
96,-48,-76.99565631171036,60.30528904861679
108,-48,-78.86765440247814,63.43750146486587
120,-48,-79.30114032368095,65.08036941471269
132,-48,-78.54208835111838,65.320207874792
144,-48,-76.99646682573919,64.41687145517864
156,-48,-74.95704822791785,62.66025470724647
168,-48,-72.6402572442098,60.14221848727629
180,-48,-70.23474845554664,57.403196034262216
-180,-42,-65.9580223911743,54.78608909133297
-168,-42,-63.56624477594187,51.83490449698233
-156,-42,-61.21004544959219,48.88423339442552
-144,-42,-58.89886911980712,46.0210752136805
-132,-42,-56.593793517002055,43.145177451764575
-120,-42,-54.074312651110056,40.0222256670304
-108,-42,-50.97931187906592,36.470590753915324
-96,-42,-47.22648627342329,32.56877221936407
-84,-42,-43.79653641836173,28.713346679904795
-72,-42,-42.76601868193732,25.688184463967694
-60,-42,-45.481176342136465,24.11608154874651
-48,-42,-50.85491691821075,23.789400960837924
-36,-42,-56.54118798709222,23.874057136131707
-24,-42,-61.052113787062304,23.82663943524582
-12,-42,-63.77668820606733,23.555906017429432
0,-42,-64.23096656396491,23.361167757895437
12,-42,-62.66486859065017,24.041511009649295
24,-42,-60.709364664116556,26.437948663819103
36,-42,-60.41468249525866,30.910824300330155
48,-42,-62.40749183771217,36.882845679461994
60,-42,-65.81787882443783,43.442470106131594
72,-42,-69.45634710121146,49.64582037488647
84,-42,-72.4944864166585,55.00168780500513
96,-42,-74.43789262133643,59.207041006280534
108,-42,-75.05434235054142,61.97249551380095
120,-42,-74.66509595487516,63.24731474577966
132,-42,-73.73135652698952,63.22925540339127
144,-42,-72.36190064964374,62.09113560219266
156,-42,-70.5395515409777,60.224163053747056
168,-42,-68.34057692288653,57.63461776865144
180,-42,-65.95802239002911,54.78608907501519
-180,-36,-60.97570452237684,51.854121886933214
-168,-36,-58.498415869588186,48.89550768019916
-156,-36,-56.01132398250785,45.93752009309239
-144,-36,-53.51930276634344,43.0469310799726
-132,-36,-51.096678479419936,40.250444358052846
-120,-36,-48.64836250246013,37.34073691034438
-108,-36,-45.73352277946329,34.08730225286245
-96,-36,-41.97617931952194,30.4600837502159
-84,-36,-38.379032743336566,26.833176406466688
-72,-36,-37.65892538067787,24.017023430544743
-60,-36,-41.582752798144874,22.790741554366072
-48,-36,-48.49428216231071,22.90213110623671
-36,-36,-55.44634815291134,23.393207384950667
-24,-36,-61.101551977203954,23.718608438327447
-12,-36,-65.10921062900739,23.768460394402688
0,-36,-66.69127554351897,23.65740754429762
12,-36,-65.43027189467956,24.030633908342736
